date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:52	838/838	---MCZ	200	added ('OK')	text/plain	date:Thu,%2020%20Aug%202026%2019:21:53%20GMT	https://ta-studios.com/robots.txt		(from )
22:21:53	31469/31469	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202026%2019:21:53%20GMT	https://ta-studios.com/	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/index.html	(from )
22:21:53	708/708	---MCZ	200	added ('OK')	application/json	etag:W/%222c4-+CXnJw83gWvbt096Wl6PtrzCL0w%22	https://ta-studios.com/oembed.json?url=https%3A%2F%2Fta-studios.com%2F	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/oembed9f33.json	(from https://ta-studios.com/)
22:21:53	1030/1030	---MCZ	200	added ('OK')	application/xml	etag:W/%22406-rjWDKPEzc+II3n1ol1T7LcsdfOs%22	https://ta-studios.com/oembed.xml?url=https%3A%2F%2Fta-studios.com%2F	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/oembed9f33.xml	(from https://ta-studios.com/)
22:21:53	868/868	---MCZ	200	added ('OK')	application/json	etag:W/%22364-19f6b358590%22	https://ta-studios.com/Assets/Image/Icons/manifest.json	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/Assets/Image/Icons/manifest.json	(from https://ta-studios.com/)
22:21:54	1319997/1319997	---M--	200	added ('OK')	image/png	etag:W/%2214243d-193eb84f841%22	https://ta-studios.com/Assets/Image/Icons/logo-banner.png	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/Assets/Image/Icons/logo-banner.png	(from https://ta-studios.com/)
22:21:54	5187/5187	---M--	200	added ('OK')	image/png	etag:W/%221443-197d67a1b00%22	https://ta-studios.com/Assets/Image/Icons/apple-icon-57x57.png	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/Assets/Image/Icons/apple-icon-57x57.png	(from https://ta-studios.com/)
22:21:54	5588/5588	---M--	200	added ('OK')	image/png	etag:W/%2215d4-197d67a1b00%22	https://ta-studios.com/Assets/Image/Icons/apple-icon-60x60.png	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/Assets/Image/Icons/apple-icon-60x60.png	(from https://ta-studios.com/)
22:21:55	7098/7098	---M--	200	added ('OK')	image/png	etag:W/%221bba-197d67a1b00%22	https://ta-studios.com/Assets/Image/Icons/apple-icon-72x72.png	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/Assets/Image/Icons/apple-icon-72x72.png	(from https://ta-studios.com/)
22:21:55	7700/7700	---M--	200	added ('OK')	image/png	etag:W/%221e14-197d67a1b00%22	https://ta-studios.com/Assets/Image/Icons/apple-icon-76x76.png	C:/Users/mehme/Desktop/vex-dev/ta-studios.com/Assets/Image/Icons/apple-icon-76x76.png	(from https://ta-studios.com/)
